Language, Model, Accuracy, Time
ar, w, 0.9049102067947388, 2.6551575660705566
ar, c, 0.9880784153938293, 15.143521070480347
ar, c+b, 0.9873709082603455, 31.650184392929077
ar, w+c, 0.9881845712661743, 16.225950717926025
ar, w+c_p, 0.9868403077125549, 16.122447729110718
ar, w+c_p_f, 0.9852129817008972, 16.20804476737976
bg, w, 0.9020592570304871, 1.927363395690918
bg, c, 0.9665692448616028, 8.293475151062012
bg, c+b, 0.9661878943443298, 16.534374713897705
bg, w+c, 0.9676496982574463, 8.844464302062988
bg, w+c_p, 0.9526503682136536, 8.799925088882446
bg, w+c_p_f, 0.9572264552116394, 8.875617027282715
cs, w, 0.836948037147522, 19.226470708847046
cs, c, 0.9575839638710022, 91.17735004425049
cs, c+b, 0.9563822746276855, 169.28688859939575
cs, w+c, 0.9563189744949341, 97.12387013435364
cs, w+c_p, 0.9546630382537842, 97.8491439819336
cs, w+c_p_f, 0.9526218771934509, 97.74245309829712
da, w, 0.8849422335624695, 0.6320397853851318
da, c, 0.9359279274940491, 3.010732650756836
da, c+b, 0.941026508808136, 5.641307830810547
da, w+c, 0.9406866431236267, 3.20489764213562
da, w+c_p, 0.9440856575965881, 3.2500643730163574
da, w+c_p_f, 0.9427260160446167, 3.2320504188537598
de, w, 0.8344602584838867, 1.785926103591919
de, c, 0.892918586730957, 8.589812755584717
de, c+b, 0.8974673748016357, 16.079923152923584
de, w+c, 0.8988197445869446, 9.257808685302734
de, w+c_p, 0.8973444104194641, 9.13570785522461
de, w+c_p_f, 0.8941479921340942, 9.264790296554565
en, w, 0.8850414752960205, 3.143763542175293
en, c, 0.9095473885536194, 13.162132024765015
en, c+b, 0.9108623266220093, 23.980504274368286
en, w+c, 0.9120975732803345, 13.990469694137573
en, w+c_p, 0.9246892333030701, 13.922313928604126
en, w+c_p_f, 0.9115397334098816, 14.045756101608276
es, w, 0.8965170979499817, 0.7565150260925293
es, c, 0.9388909935951233, 3.9746127128601074
es, c+b, 0.9377593398094177, 7.598484516143799
es, w+c, 0.9385138154029846, 4.268747568130493
es, w+c_p, 0.9434176087379456, 4.213038206100464
es, w+c_p_f, 0.9464353322982788, 4.22829270362854
eu, w, 0.8575121164321899, 2.9385385513305664
eu, c, 0.933576762676239, 13.410063028335571
eu, c+b, 0.9331254363059998, 24.555115699768066
eu, w+c, 0.9355871081352234, 14.0803382396698
eu, w+c_p, 0.9291048049926758, 14.069813966751099
eu, w+c_p_f, 0.9232789278030396, 14.315246343612671
fa, w, 0.9402696490287781, 1.5558280944824219
fa, c, 0.9576207995414734, 7.959493398666382
fa, c+b, 0.9594308137893677, 15.908676385879517
fa, w+c, 0.9589939117431641, 8.51038122177124
fa, w+c_p, 0.9669204950332642, 8.483922958374023
fa, w+c_p_f, 0.9662339687347412, 8.406047582626343
fi, w, 0.8024070262908936, 1.0722756385803223
fi, c, 0.9111597537994385, 5.1552512645721436
fi, c+b, 0.9110503792762756, 9.47985029220581
fi, w+c, 0.915536105632782, 5.409255504608154
fi, w+c_p, 0.9048140048980713, 5.501648902893066
fi, w+c_p_f, 0.8973742127418518, 5.522353649139404
fr, w, 0.9058136343955994, 0.699913501739502
fr, c, 0.9337418079376221, 3.4993555545806885
fr, c+b, 0.9334568381309509, 6.472856044769287
fr, w+c, 0.9385864734649658, 3.77432918548584
fr, w+c_p, 0.9291821122169495, 3.7762811183929443
fr, w+c_p_f, 0.9334568381309509, 3.7479021549224854
he, w, 0.9065566658973694, 1.1926584243774414
he, c, 0.9436700940132141, 5.884303092956543
he, c+b, 0.941608190536499, 11.406418323516846
he, w+c, 0.9417731761932373, 6.352778196334839
he, w+c_p, 0.9461442828178406, 6.24984884262085
he, w+c_p_f, 0.9434226751327515, 6.247155427932739
hi, w, 0.9255715608596802, 3.7681171894073486
hi, c, 0.9448490142822266, 17.724007844924927
hi, c+b, 0.9453852772712708, 37.33724522590637
hi, w+c, 0.9460062384605408, 18.98966693878174
hi, w+c_p, 0.955009937286377, 18.881383419036865
hi, w+c_p_f, 0.9487158060073853, 19.16444969177246

